Detector,VCASB,FakeHitRate,FakeHitRateErrorUp,FakeHitRateErrorLow,MaskedFakeHitRate,MaskedFakeHitRateErrorUp,MaskedFakeHitRateErrorLow
tb0,100,1.157379150390625e-06,1.3450981951585099e-08,1.3297366362538698e-08,1.60675048828125e-07,5.109264812390836e-09,4.953920213249472e-09
tb0,103,3.9593505859375e-06,2.4747933033034364e-08,2.4594945395509675e-08,7.1868896484375e-07,1.0631713763118667e-08,1.0478411922341249e-08
tb0,106,2.15911865234375e-05,5.75872070215832e-08,5.7434373134842285e-08,1.1435546875e-05,4.195173031130219e-08,4.1798618436660764e-08
tb0,64,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10
tb0,67,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb0,70,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb0,73,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb0,76,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb0,79,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb0,82,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb0,85,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb0,88,3.0517578125e-10,4.028076062038312e-10,1.967540855180852e-10,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10
tb0,91,2.899169921875e-09,8.298381758031055e-10,6.599470680130575e-10,7.62939453125e-10,5.160510143576445e-10,3.297266794068892e-10
tb0,94,3.41796875e-08,2.4412547464572048e-09,2.2834288498337994e-09,8.697509765625e-09,1.312124150287281e-09,1.1495174539349358e-09
tb0,97,2.79083251953125e-07,6.683726678760556e-09,6.529180448689905e-09,7.354736328125e-08,3.5074661130691336e-09,3.3508009700298377e-09
tb1,100,2.3956298828125e-08,2.069382523848105e-09,1.911122736227815e-09,2.3956298828125e-08,2.069382523848105e-09,1.911122736227815e-09
tb1,103,6.34765625e-08,3.2692867801992216e-09,3.1128739882627727e-09,6.34765625e-08,3.2692867801992216e-09,3.1128739882627727e-09
tb1,106,1.42974853515625e-07,4.8281041106092436e-09,4.672914820683245e-09,1.42974853515625e-07,4.8281041106092436e-09,4.672914820683245e-09
tb1,109,3.9031982421875e-07,7.876301827286085e-09,7.721411837512723e-09,2.1087646484375e-07,5.830123070201921e-09,5.67539247313963e-09
tb1,112,1.573333740234375e-05,4.91809928455235e-08,4.902782215397979e-08,1.294403076171875e-05,4.462318576573737e-08,4.447026078863793e-08
tb1,70,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb1,73,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb1,76,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb1,79,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10
tb1,82,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb1,85,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb1,88,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb1,91,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb1,94,3.0517578125e-10,4.028076062038312e-10,1.967540855180852e-10,3.0517578125e-10,4.028076062038312e-10,1.967540855180852e-10
tb1,97,5.4931640625e-09,1.0774908620432696e-09,9.12182030847759e-10,5.4931640625e-09,1.0774908620432696e-09,9.12182030847759e-10
tb2,100,1.52587890625e-09,6.514687280366266e-10,4.74574134842806e-10,1.52587890625e-09,6.514687280366266e-10,4.74574134842806e-10
tb2,103,5.340576171875e-09,1.0645052035630799e-09,8.991366559981828e-10,5.340576171875e-09,1.0645052035630799e-09,8.991366559981828e-10
tb2,106,1.9989013671875e-08,1.9046690926781164e-09,1.7453673162944354e-09,1.9989013671875e-08,1.9046690926781164e-09,1.7453673162944354e-09
tb2,109,6.89697265625e-08,3.401436281135779e-09,3.2448743693107125e-09,6.89697265625e-08,3.401436281135779e-09,3.2448743693107125e-09
tb2,112,4.632568359375e-07,8.566397768105183e-09,8.41245401011253e-09,4.632568359375e-07,8.566397768105183e-09,8.41245401011253e-09
tb2,115,1.27423095703125e-05,4.427531317487277e-08,4.41223015550188e-08,1.053375244140625e-05,4.026972759467837e-08,4.011705979176912e-08
tb2,73,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb2,76,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb2,79,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb2,82,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb2,85,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb2,88,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb2,91,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10
tb2,94,3.0517578125e-10,4.028076062038312e-10,1.967540855180852e-10,3.0517578125e-10,4.028076062038312e-10,1.967540855180852e-10
tb2,97,3.0517578125e-10,4.028076062038312e-10,1.967540855180852e-10,3.0517578125e-10,4.028076062038312e-10,1.967540855180852e-10
tb3,100,1.6937255859375e-08,1.7661324422950681e-09,1.6060841398946926e-09,1.6937255859375e-08,1.7661324422950681e-09,1.6060841398946926e-09
tb3,103,5.950927734375e-07,9.688703051632888e-09,9.53475493601624e-09,5.950927734375e-07,9.688703051632888e-09,9.53475493601624e-09
tb3,106,2.2692413330078127e-05,5.903360713844862e-08,5.888065491977857e-08,1.9060211181640626e-05,5.411613285140926e-08,5.3963554275519876e-08
tb3,109,0.0005484864807128907,2.895552580406066e-07,2.8940266359159424e-07,0.0002641725158691406,2.0102732529596367e-07,2.0087483328811882e-07
tb3,67,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb3,70,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10
tb3,73,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb3,76,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10
tb3,79,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10,1.52587890625e-10,3.511275982674259e-10,1.262729731907734e-10
tb3,82,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb3,85,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb3,88,0.0,2.8152624340780355e-10,0.0,0.0,2.8152624340780355e-10,0.0
tb3,91,4.57763671875e-10,4.4570281682066506e-10,2.491949621471903e-10,4.57763671875e-10,4.4570281682066506e-10,2.491949621471903e-10
tb3,94,9.1552734375e-10,5.473062247283748e-10,3.63284400194826e-10,9.1552734375e-10,5.473062247283748e-10,3.63284400194826e-10
tb3,97,3.662109375e-09,9.105916976276898e-10,7.428256809590404e-10,3.662109375e-09,9.105916976276898e-10,7.428256809590404e-10
bb0,100,9.0283203125e-07,9.49341105225685e-09,9.395617191656822e-09,6.54296875e-09,9.017619051621883e-10,7.982772403318226e-10
bb0,103,2.21904296875e-06,1.4828210231826882e-08,1.4730106851420777e-08,1.875e-08,1.454467529212217e-09,1.352824213755318e-09
bb0,61,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb0,64,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb0,67,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11
bb0,70,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb0,73,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb0,76,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb0,79,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11
bb0,82,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11
bb0,85,4.882812500000001e-10,3.310088852446556e-10,2.1095688982047447e-10,4.882812500000001e-10,3.310088852446556e-10,2.1095688982047447e-10
bb0,88,3.906250000000001e-09,7.209493171296439e-10,6.153655927680446e-10,3.906250000000001e-09,7.209493171296439e-10,6.153655927680446e-10
bb0,91,1.884765625e-08,1.4576229805624578e-09,1.356388165982416e-09,1.884765625e-08,1.4576229805624578e-09,1.356388165982416e-09
bb0,94,8.496093749999999e-08,2.9811175802592253e-09,2.881703777989525e-09,8.496093749999999e-08,2.9811175802592253e-09,2.881703777989525e-09
bb0,97,3.3642578125e-07,5.834149154363664e-09,5.7352201789229736e-09,2.0507812500000002e-09,5.526227205231762e-10,4.4415685112021335e-10
bb1,100,1.0849609375e-07,3.3558251924488577e-09,3.256656183930978e-09,1.0849609375e-07,3.3558251924488577e-09,3.256656183930978e-09
bb1,103,3.388671875e-07,5.8545686321541515e-09,5.75606892918577e-09,1.8271484375e-07,4.325287771376801e-09,4.2263110907277015e-09
bb1,106,1.6589843749999999e-06,1.2834428404263056e-08,1.2736503717645978e-08,1.19072265625e-06,1.0888662622566388e-08,1.0790592110903648e-08
bb1,109,2.4282812499999998e-05,4.8825163664096037e-08,4.872688470843015e-08,1.7173828124999998e-05,4.107672237762885e-08,4.097883601986716e-08
bb1,67,3.906250000000001e-10,3.0858113101247957e-10,1.867691385550981e-10,3.906250000000001e-10,3.0858113101247957e-10,1.867691385550981e-10
bb1,70,1.07421875e-09,4.315908802127866e-10,3.190969533592085e-10,1.07421875e-09,4.315908802127866e-10,3.190969533592085e-10
bb1,73,2.7343749999999995e-09,6.204940991564539e-10,5.141977091224462e-10,2.7343749999999995e-09,6.204940991564539e-10,5.141977091224462e-10
bb1,76,3.5156250000000003e-09,6.896223948021479e-10,5.836406065862019e-10,3.5156250000000003e-09,6.896223948021479e-10,5.836406065862019e-10
bb1,79,3.6132812499999997e-09,6.972167899264113e-10,5.917204358242028e-10,3.6132812499999997e-09,6.972167899264113e-10,5.917204358242028e-10
bb1,82,6.250000000000001e-09,8.835632920147652e-10,7.79699507452245e-10,6.250000000000001e-09,8.835632920147652e-10,7.79699507452245e-10
bb1,85,7.910156249999999e-09,9.80875279458416e-10,8.7758264719721e-10,7.910156249999999e-09,9.80875279458416e-10,8.7758264719721e-10
bb1,88,9.765625e-09,1.0781432239829644e-09,9.752735918072707e-10,9.765625e-09,1.0781432239829644e-09,9.752735918072707e-10
bb1,91,1.3671874999999998e-08,1.256236321172031e-09,1.154897725091278e-09,1.3671874999999998e-08,1.256236321172031e-09,1.154897725091278e-09
bb1,94,2.255859375e-08,1.5847744523951501e-09,1.4845104477377702e-09,2.255859375e-08,1.5847744523951501e-09,1.4845104477377702e-09
bb1,97,4.1796875e-08,2.1212319501950293e-09,2.0212753929718836e-09,4.1796875e-08,2.1212319501950293e-09,2.0212753929718836e-09
bb2,100,3.8779296875000006e-07,6.256106110071045e-09,6.157540458597687e-09,1.21875e-07,3.550732470535918e-09,3.4516286027488808e-09
bb2,103,7.4306640625e-07,8.621611213102744e-09,8.523764839805872e-09,6.640625e-09,9.075574127516287e-10,8.037365241442718e-10
bb2,106,1.5037109375e-06,1.2223396318843342e-08,1.2125629093381534e-08,2.607421875e-08,1.696262741689539e-09,1.5956973612168092e-09
bb2,109,3.0915039062500004e-06,1.7484404577307596e-08,1.7386412096718755e-08,1.416015625e-07,3.819692311417657e-09,3.7209850745172827e-09
bb2,67,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb2,70,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11
bb2,73,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb2,76,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11,9.765625000000002e-11,2.25089149833504e-10,8.061073033040859e-11
bb2,79,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb2,82,0.0,1.7986584818349746e-10,0.0,0.0,1.7986584818349746e-10,0.0
bb2,85,5.859375e-10,3.502634900300554e-10,2.3287352884513277e-10,5.859375e-10,3.502634900300554e-10,2.3287352884513277e-10
bb2,88,6.15234375e-09,8.774905027683371e-10,7.73666241404736e-10,6.15234375e-09,8.774905027683371e-10,7.73666241404736e-10
bb2,91,2.2949218750000002e-08,1.597918488030777e-09,1.4969858360770512e-09,2.2949218750000002e-08,1.597918488030777e-09,1.4969858360770512e-09
bb2,94,6.435546875e-08,2.6074808085948425e-09,2.507857413721817e-09,6.435546875e-08,2.6074808085948425e-09,2.507857413721817e-09
bb2,97,1.8544921875e-07,4.357050715552827e-09,4.257972764522715e-09,3.06640625e-08,1.8310828249043816e-09,1.7306988622921139e-09
bb3,100,7.5361328125e-06,2.7243537563889517e-08,2.714561400029032e-08,1.44912109375e-06,1.2001602892830261e-08,1.190376223864638e-08
bb3,103,1.8719921875e-05,4.28813598776556e-08,4.278372551996809e-08,1.13140625e-05,3.335880399385523e-08,3.326092783432279e-08
bb3,61,2.9296875e-10,2.849872401021579e-10,1.5987985322719615e-10,2.9296875e-10,2.849872401021579e-10,1.5987985322719615e-10
bb3,64,8.789062500000001e-10,4.0160734242483526e-10,2.875447954626761e-10,8.789062500000001e-10,4.0160734242483526e-10,2.875447954626761e-10
bb3,67,4.19921875e-09,7.436925797960337e-10,6.383132271354303e-10,4.19921875e-09,7.436925797960337e-10,6.383132271354303e-10
bb3,70,1.62109375e-08,1.3594260714462953e-09,1.257704836173067e-09,1.62109375e-08,1.3594260714462953e-09,1.257704836173067e-09
bb3,73,3.9453125e-08,2.0634452649158106e-09,1.9632343588097517e-09,3.9453125e-08,2.0634452649158106e-09,1.9632343588097517e-09
bb3,76,1.0703125e-07,3.3338115983787473e-09,3.2345808650249732e-09,3.4179687499999995e-09,6.808448047665495e-10,5.749932516508743e-10
bb3,79,2.3427734375e-07,4.884593017980484e-09,4.785866503382804e-09,8.30078125e-09,1.0022519177728462e-09,8.994886636113618e-10
bb3,82,4.6542968750000004e-07,6.844336722279744e-09,6.746289974601948e-09,1.7578124999999997e-08,1.4111231100902466e-09,1.3098379502231174e-09
bb3,85,8.726562499999999e-07,9.3355311121336e-09,9.236792756351087e-09,3.974609375e-08,2.070694832448351e-09,1.970516320086104e-09
bb3,88,1.45400390625e-06,1.2021678988002864e-08,1.1923069492325174e-08,7.83203125e-08,2.866272570918525e-09,2.7670976884201602e-09
bb3,91,2.36181640625e-06,1.5294735658380655e-08,1.5196644319928982e-08,1.5009765625e-07,3.929792674704778e-09,3.830576854761461e-09
bb3,94,3.65693359375e-06,1.9007618125031855e-08,1.8909312594201495e-08,1.5185546874999999e-07,3.951972553154217e-09,3.852940437703689e-09
bb3,97,5.07783203125e-06,2.2380472465344957e-08,2.2282355221165628e-08,2.7548828124999997e-07,5.288768368229833e-09,5.189969842794714e-09
